coc_number,emp_2012,emp_2023,employment_growth_12_23,avg_weekly_wage_2012,avg_weekly_wage_2023,inmig_persons,in_migration_rate,pop_2012,pop_2024,population_growth_12_24
IN-502,2186140.0,2439360.0,0.11582972728187582,741.4310497040445,1062.6055928604223,266495.0,0.04710526111121716,5580995.0,5875264.0,0.05272697789551863
IN-503,563419.0,621243.0,0.10263054671567697,963.0,1386.0,41414.0,0.04442885311465421,904535.0,975809.0,0.07879628759528376
KS-502,239684.0,261500.0,0.0910198427930108,856.0,1132.0,16699.0,0.03285775282800199,497062.0,528226.0,0.06269640407031718
KS-503,94683.0,100026.0,0.056430404613288555,797.0,1104.0,5709.0,0.03197119288558356,177688.0,178025.0,0.001896582774301022
KS-505,310178.0,369949.0,0.19269903087904364,979.0,1373.0,27399.0,0.04786453492841021,546046.0,620631.0,0.13659105643114317
KS-507,575231.0,578717.0,0.006060174086584346,641.488382927902,928.314385096688,71867.0,0.04864756559098733,1473113.0,1452661.0,-0.013883524210294797
KY-500,1141280.0,1249773.0,0.0950625613346418,711.51030772466,1012.4497384725066,164643.0,0.0492834513113278,3302116.0,3428077.0,0.0381455406169862
KY-501,423682.0,479805.0,0.1324649147237787,917.0,1327.0,24637.0,0.03242888206769827,741285.0,783022.0,0.05630358094390147
KY-502,178051.0,201604.0,0.13228232360391123,831.0,1203.0,13642.0,0.043790465735132206,296766.0,323725.0,0.09084261674181004
LA-500,271016.0,249131.0,-0.08075168993712549,851.305624022198,1036.71160554086,26956.0,0.04118186262527499,639172.0,643585.0,0.006904244866796418
LA-502,194130.0,181374.0,-0.06570854581981146,752.4956781538144,1047.355381697487,21376.0,0.04413246345693286,481002.0,456553.0,-0.050829310481037504
LA-503,369310.0,370581.0,0.0034415531667163087,900.348704340527,1223.367935754936,30998.0,0.03788902931822238,774113.0,802773.0,0.037023018603227174
LA-505,124513.0,123580.0,-0.007493193481805113,649.4936592966196,886.4150833468199,12871.0,0.03619373815429089,355275.0,345624.0,-0.027164872282035044
LA-506,154848.0,186235.0,0.2026955466005373,723.0115209754082,996.4186484817569,27980.0,0.0494005896996769,541815.0,613252.0,0.13184758635327556
LA-507,105594.0,98652.0,-0.06574237172566623,677.5152849593727,917.0555487977942,13058.0,0.042375053950472655,308277.0,290657.0,-0.05715638857261489
LA-508,144226.0,130961.0,-0.09197370793060891,989.4060779609779,1332.5729721061996,12863.0,0.03654915510446472,351822.0,334589.0,-0.04898215574921409
LA-509,491520.0,518710.0,0.055318196614583336,857.8740417480469,1217.7524204275992,43906.0,0.03967899650258014,1078129.0,1124928.0,0.04340760706742885
MA-500,510897.43508367,609754.3117117072,0.1934965216880513,1552.0,2393.0,38513.127282247806,0.05850578141220942,621222.6766017255,673200.3073507365,0.08366988634951993
MA-502,36526.36550024563,38488.92867076874,0.053730042495192025,989.0000000000001,1426.0,3000.5112391825933,0.03258804048029404,89153.79121141927,97302.87432444018,0.09140478494847379
MA-503,104608.0,113493.0,0.08493614255123891,797.015715815234,1224.9419435559903,11126.0,0.04587398055530359,242796.0,267084.0,0.10003459694558395
MA-504,196160.0,202689.0,0.03328405383360522,854.0,1160.0,11306.0,0.02415440359602796,464072.0,462815.0,-0.0027086314192625283
MA-505,35994.80751458001,39036.85852491039,0.08451360683337932,847.0,1197.0,3021.3369882566635,0.031807565042496565,93938.7748653733,99678.9556435043,0.06110555291313352
MA-506,315930.0,351037.0,0.11112271705757605,931.0,1320.0,25054.0,0.030794418311948662,799277.0,867788.0,0.08571621603023732
MA-507,147127.0,149954.0,0.019214692068756926,764.014864708721,1138.4290715819518,12364.0,0.034295478122902304,361205.0,362402.0,0.0033139076147893857
MA-508,57890.48958988525,65229.91808740695,0.12678124765426171,1388.0,2060.0,4628.696366443185,0.04212846307436162,105662.06200394232,114830.0922518994,0.08676747428622977
